,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
51,ARKANSAS,Decatur,1781,95.0,4,12,10,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,13,3,13,0,0,0,0,2,0,0,0,0,9,3,1,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,ARKANSAS,Dell,208,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
53,ARKANSAS,De Queen,6781,358.0,8,30,4,0,0,0,0,0,0,2,5,0,0,5,0,0,0,0,0,42,14,11,0,0,1,9,0,0,0,3,0,61,12,1,3,0,41,3,2,3,53,37,0,0,0,0,0,0,0,0,8
54,ARKANSAS,Dermott,2722,78.0,7,13,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,2,20,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
55,ARKANSAS,Des Arc,1620,46.0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,6,2,0,0,6,8,0,0,0,0,0,0,0,0,2
56,ARKANSAS,De Witt,3197,339.0,21,52,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,47,13,41,0,0,1,3,0,0,0,0,0,13,6,0,23,2,65,2,3,1,17,9,0,0,0,0,0,0,0,0,6
57,ARKANSAS,Dierks,1101,10.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,ARKANSAS,Dover,1401,87.0,1,17,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,5,13,0,0,2,1,1,0,0,0,0,3,1,0,6,1,19,1,0,0,1,1,0,0,0,0,0,0,0,0,1
59,ARKANSAS,Dumas,4370,192.0,16,56,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,29,3,12,0,0,0,1,0,0,0,0,0,13,9,0,12,0,21,3,3,0,3,0,0,0,0,0,0,0,0,0,4
60,ARKANSAS,Dyer,857,70.0,4,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,9,0,0,0,1,0,0,0,0,0,4,1,0,0,0,15,0,0,2,6,4,0,0,0,0,0,0,0,0,2
